,Name,Price (in Euros),Details
159,"Sago Delima, Flower Brand, 200g","1,99","Inhalt 200 Gramm (1,00 € * / 100 Gramm)"
160,"Mie Sedaap Tasty Sambal Matah, 124g","1,39","Inhalt 124 Gramm (1,12 € * / 100 Gramm)"
161,"Mie Sedaap Tasty Kriuk Ayam Asli, 124g","1,39","Inhalt 124 Gramm (1,12 € * / 100 Gramm)"
162,"Rengginang - Reiskrupuk, salzig, Lucullus, 250g","2,99","Inhalt 250 Gramm (1,20 € * / 100 Gramm)"
163,"Langkornduftreis, Vientiane, 18kg","47,99","Inhalt 18 Kilogramm (2,67 € * / 1 Kilogramm)"
164,"Kripik Singkong ""Sweet Corn"", Kusuka, 180g","2,99","Inhalt 180 Gramm (1,66 € * / 100 Gramm)"
165,"Kecap Sambal, Kokita, 400g","4,99","Inhalt 0.4 Kilogramm (12,48 € * / 1 Kilogramm)"
166,"Rica-Rica, Dua Kuali, 50g","0,89","Inhalt 50 Gramm (1,78 € * / 100 Gramm)"
167,"Mie Sedaap Korean Spicy Chicken, 87g","0,59","Inhalt 87 Gramm (0,68 € * / 100 Gramm)"
168,"Bakmi Sop Buntut, Bakmi Mewah, 122g","2,19","Inhalt 122 Gramm (1,80 € * / 100 Gramm)"
169,"Erdbeer Jelly Pudding, Cocon, 6x80g","3,49","Inhalt 0.48 Kilogramm (7,27 € * / 1 Kilogramm)"
170,"Langkornduftreis, Royal Thai, 20kg","49,99","Inhalt 20 Kilogramm (2,50 € * / 1 Kilogramm)"
171,"Talam Beras, Pondan, 300g","3,49","Inhalt 0.3 Kilogramm (11,63 € * / 1 Kilogramm)"
172,"Lapis Tepung Beras, Pondan, 400g","3,99","Inhalt 0.4 Kilogramm (9,98 € * / 1 Kilogramm)"
173,"Lapis Legit, Pondan, 375g","3,99","Inhalt 0.375 Kilogramm (10,64 € * / 1 Kilogramm)"
174,"Rangginan Asin - Reiskrupuk, gebraten, Srikandi, 180g","4,69","Inhalt 180 Gramm (2,61 € * / 100 Gramm)"
175,"Rangginan Manis - Reiskrupuk, süß, gebraten, Srikandi, 180g","4,69","Inhalt 180 Gramm (2,61 € * / 100 Gramm)"
176,"Geröstete rote Schalotten, Asian Boy, 100g","2,19",Inhalt 100 Gramm
177,"Sojabohnensauce, M.Y. San, 350ml","3,49","Inhalt 350 Liter (0,01 € * / 1 Liter)"
178,"Kenchur, gemahlen, Lucullus, 35g","2,99","Inhalt 35 Gramm (8,54 € * / 100 Gramm)"
179,"Bon Cabe Anchovies, Level 3, Kobe, 50g","3,19","Inhalt 50 Gramm (6,38 € * / 100 Gramm)"
180,"Tepung Kremes, Unifood, 50g","0,89","Inhalt 50 Gramm (1,78 € * / 100 Gramm)"
181,"Bakso Goreng, Unifood, 200g","1,99","Inhalt 200 Gramm (1,00 € * / 100 Gramm)"
182,"Tepung Bakwan, Unifood, 80g","0,79","Inhalt 80 Gramm (0,99 € * / 100 Gramm)"
183,"Tepung Tempura, Unifood, 80g","0,79","Inhalt 80 Gramm (0,99 € * / 100 Gramm)"
184,"Tepung Rempeyek, Unifood, 200g","1,99","Inhalt 200 Gramm (1,00 € * / 100 Gramm)"
185,"Cendolmehl mit Himbeeraroma, Sruut, 100g","1,69",Inhalt 100 Gramm
186,"Cendolmehl mit Vanille, Sruut, 100g","1,69",Inhalt 100 Gramm
187,"Biji Delima, Nesia, 100g","0,99",Inhalt 100 Gramm
188,"Erdnußsauce für Sate, Ratu Culinair, 200g","2,99","Inhalt 200 Gramm (1,50 € * / 100 Gramm)"
189,"Bumbu Gado-Gado, Ratu Culinair, 200g","2,99","Inhalt 200 Gramm (1,50 € * / 100 Gramm)"
190,"Roter Langkornreis , Royal Thai, 1kg","5,99",Inhalt 1 Kilogramm
191,"Gingerbon Jahe Susu, 100g","1,79",Inhalt 100 Gramm
192,"Ingwerbonbon Ting Ting Jahe Sin A, 100g","1,79",Inhalt 100 Gramm
193,"Energen Schokolade, 10 x 30g","2,99","Inhalt 0.3 Kilogramm (9,97 € * / 1 Kilogramm)"
194,"Energen Vanille, 10 x 30g","2,99","Inhalt 0.3 Kilogramm (9,97 € * / 1 Kilogramm)"
195,"Krupuk Talie Warna, Nesia, 250g","1,99","Inhalt 250 Gramm (0,80 € * / 100 Gramm)"
