,Name,Price (in Euros),Details
714,"Sardinen in scharfer Tomatensoße, Ligo, 155g","1,49","Inhalt 155 Gramm (0,96 € * / 100 Gramm)"
715,"Sambal Goreng Udang, Indomas, 210g","2,69","Inhalt 210 Gramm (1,28 € * / 100 Gramm)"
716,"Nata de Coco Pudding, gemischt, Cocon, 708g","4,99","Inhalt 708 Gramm (0,70 € * / 100 Gramm)"
717,"Mango Jelly Pudding, Cocon, 6x80g","3,49","Inhalt 0.48 Kilogramm (7,27 € * / 1 Kilogramm)"
718,"Mango Jelly Pudding, Cocon, 118g","0,59","Inhalt 118 Gramm (0,50 € * / 100 Gramm)"
719,"Lychee Jelly Pudding, Cocon, 6x80g","3,49","Inhalt 0.48 Kilogramm (7,27 € * / 1 Kilogramm)"
720,"Jackfrucht Jelly Pudding, Cocon, 118g","0,69","Inhalt 118 Gramm (0,58 € * / 100 Gramm)"
721,"Gesalzener Senfkohl (sauer), Lotus, 350g","1,59","Inhalt 350 Gramm (0,45 € * / 100 Gramm)"
722,"Geflügel Frühstücksfleisch, 200g","2,19","Inhalt 200 Gramm (1,10 € * / 100 Gramm)"
723,"Bumbu Sate, Asli, scharf, 200g","2,79","Inhalt 200 Gramm (1,40 € * / 100 Gramm)"
724,"Bambussprossen Scheiben, Thai Pride, 540g","2,49","Inhalt 540 Gramm (0,37 € * / 100 Gramm)"
725,"Anchovis, scharf gebraten, Nesia, 70g","3,19","Inhalt 70 Gramm (4,56 € * / 100 Gramm)"
726,"Erdnußpaste, Pinda Kaas, 350g","2,99","Inhalt 350 Gramm (0,85 € * / 100 Gramm)"
727,"Corned Beef, 340g","4,99","Inhalt 340 Gramm (1,47 € * / 100 Gramm)"
728,"Rind Frühstücksfleisch, 200g","2,19","Inhalt 200 Gramm (1,10 € * / 100 Gramm)"
729,"Segitiga Biru, Bogasari, 1kg","3,49",Inhalt 1 Kilogramm
730,"Sagu Mutiara, Nesia, 100g","1,09",Inhalt 100 Gramm
731,"Aroma Paste Durian, 30ml","0,99","Inhalt 30 ml (3,30 € * / 100 ml)"
732,"Mungbohnenmehl ""Tepung Hun Kwe"", Cap Boenga, 120g","3,99","Inhalt 120 Gramm (3,33 € * / 100 Gramm)"
733,"Cendolmehl mit Pandan, Sruut, 100g","1,69",Inhalt 100 Gramm
734,"Pandan Chiffon, Pondan, 400g","4,39","Inhalt 400 Gramm (1,08 € * / 98 Gramm)"
735,"SP, Koepoe, 30g","1,49","Inhalt 30 Gramm (4,97 € * / 100 Gramm)"
736,"Blauer Farbstoff, Koepoe, 30ml","0,99","Inhalt 30 ml (3,30 € * / 100 ml)"
737,"Agar-Agar, braun, 7g","0,79","Inhalt 7 Gramm (11,29 € * / 100 Gramm)"
738,"Margarine ""Blue Band"", 250g","2,99","Inhalt 250 Gramm (1,20 € * / 100 Gramm)"
739,"Reismehl, 400g","1,69","Inhalt 400 Gramm (0,42 € * / 100 Gramm)"
740,"Mungbohnenmehl Tepung Hun Kwe, grün, Nona, 100g","1,99",Inhalt 100 Gramm
741,"Mungbohnenmehl Tepung Hun Kwe, rot, Nona, 100g","1,99",Inhalt 100 Gramm
742,"TBM, Koepoe, 80g","2,19","Inhalt 80 Gramm (2,74 € * / 100 Gramm)"
743,"Tepung Goreng Pisang, Pondan, 200g","1,49","Inhalt 200 Gramm (0,75 € * / 100 Gramm)"
744,"Martabak Mix, Pondan, 400g","3,99","Inhalt 400 Gramm (0,99 € * / 99 Gramm)"
745,"Aroma Paste Pandan, 1L","19,99","Inhalt 25 ml (79,96 € * / 100 ml)"
746,"Kunci Biru, Bogasari, 1kg","3,49",Inhalt 1 Kilogramm
747,"Sagomehl, Flower Brand, 500g","1,99","Inhalt 500 Gramm (0,40 € * / 100 Gramm)"
748,"Roter Farbstoff, Koepoe, 30ml","0,99","Inhalt 30 ml (3,30 € * / 100 ml)"
749,"Ovalett, Koepoe, 30g","1,49","Inhalt 30 Gramm (4,97 € * / 100 Gramm)"
750,"Mungbohnenmehl Tepung Hun Kwe, gelb, Nona, 100g","1,99",Inhalt 100 Gramm
751,"Grüner Farbstoff, Koepoe, 30ml","0,99","Inhalt 30 ml (3,30 € * / 100 ml)"
752,"Gelber Farbstoff, Koepoe, 30ml","0,99","Inhalt 30 ml (3,30 € * / 100 ml)"
753,"Cream of Tartar, Koepoe, 43g","1,49","Inhalt 43 Gramm (3,47 € * / 100 Gramm)"
754,"Kue Mangkok, Pondan, 400g","3,99","Inhalt 400 Gramm (1,00 € * / 100 Gramm)"
755,"Bika Ambon, Pondan, 330g","3,99","Inhalt 330 Gramm (1,21 € * / 100 Gramm)"
756,"Bolu Kukus Serbaguna, Pondan, 400g","3,99","Inhalt 400 Gramm (1,00 € * / 100 Gramm)"
757,"Agar-Agar mit Kokosaroma, Lobo, 60g","1,59","Inhalt 60 Gramm (2,65 € * / 100 Gramm)"
758,"Tapiokamehl, 400g","1,29","Inhalt 400 Gramm (0,32 € * / 100 Gramm)"
759,"Aroma Paste Vanille, 30ml","0,99","Inhalt 30 ml (3,30 € * / 100 ml)"
760,"Aroma Paste Mocca, 30ml","0,99","Inhalt 30 ml (3,30 € * / 100 ml)"
761,"Aroma Paste Pandan, 25ml","1,09","Inhalt 25 ml (4,36 € * / 100 ml)"
762,"Klebreismehl, 400g","1,89","Inhalt 400 Gramm (0,47 € * / 100 Gramm)"
763,"Aroma Paste Pisang Ambon, 30ml","0,99","Inhalt 30 ml (3,30 € * / 100 ml)"
764,"Agar-Agar, weiß/transparent, 7g","0,79","Inhalt 7 Gramm (11,29 € * / 100 Gramm)"
765,"Maisstärke, Kornstärke, Kingsford, 420g","3,19","Inhalt 420 Gramm (0,76 € * / 100 Gramm)"
766,"Agar-Agar, rot, 7g","0,79","Inhalt 7 Gramm (11,29 € * / 100 Gramm)"
767,"Agar-Agar, grün, 7g","0,79","Inhalt 7 Gramm (11,29 € * / 100 Gramm)"
768,"Aroma Paste Nangka, 30ml","0,99","Inhalt 30 ml (3,30 € * / 100 ml)"
769,"Aroma Paste Rosen, 30ml","0,99","Inhalt 30 ml (3,30 € * / 100 ml)"
770,"Aroma Paste Cocopandan, 30ml","0,99","Inhalt 30 ml (3,30 € * / 100 ml)"
771,"Chili, rot , 100g","2,99","Inhalt 100 Gramm (29,90 € * / 1000 Gramm)"
772,"Kacang Atom, 200g","2,19","Inhalt 200 Gramm (1,10 € * / 100 Gramm)"
